Match,Final Tip,Predicted Margin,Raw Margin,Margin Category,Elo Confidence,Edge Score,Home Win %,Away Win %,Squiggle Tip,Squiggle Votes,Risk,Bookmaker Odds,Best Bookmaker,Break Even %,Model Edge %,Expected ROI %,Value Rating,Multi Eligible
Fremantle v Geelong,Fremantle,Fremantle by 17,17.5,Solid Margin,77.0,9.2,77.0,23.0,Fremantle,19-3,LOW,1.5,Manual / No API Match,66.7,10.3,15.5,Strong Value,YES
Gold Coast v Hawthorn,Gold Coast,Gold Coast by 1,0.7,Close Game,51.2,4.1,51.2,48.8,Hawthorn,7-15,HIGH,1.5,Manual / No API Match,66.7,-15.5,-23.2,No Value,NO
Adelaide v Melbourne,Adelaide,Adelaide by 8,8.1,Close Game,63.6,6.9,63.6,36.4,Adelaide,22-0,MEDIUM,1.5,Manual / No API Match,66.7,-3.1,-4.6,No Value,NO
Greater Western Sydney v Carlton,Greater Western Sydney,Greater Western Sydney by 12,12.4,Solid Margin,70.2,8.5,70.2,29.8,Greater Western Sydney,22-0,LOW,1.5,Manual / No API Match,66.7,3.5,5.3,Small Edge,NO
Collingwood v Port Adelaide,Collingwood,Collingwood by 9,9.4,Close Game,65.7,7.1,65.7,34.3,Collingwood,22-0,MEDIUM,1.5,Manual / No API Match,66.7,-1.0,-1.4,No Value,NO
Richmond v North Melbourne,North Melbourne,North Melbourne by 2,-2.3,Close Game,54.0,5.9,46.0,54.0,North Melbourne,0-22,MEDIUM,1.5,Manual / No API Match,66.7,-12.7,-19.0,No Value,NO
St Kilda v Western Bulldogs,St Kilda,St Kilda by 1,0.6,Close Game,51.1,4.1,51.1,48.9,Western Bulldogs,5-17,HIGH,1.5,Manual / No API Match,66.7,-15.6,-23.4,No Value,NO
