Round,Match,Final Tip,Bet Type,Predicted Margin,Bookmaker Odds,Best Bookmaker,Elo Confidence,Break Even %,Model Edge %,Expected ROI %,Value Rating,Multi Eligible,Risk,Recommended Units,Recommended Stake,Stake,Result,Profit/Loss,Notes
15,Fremantle v Geelong,Fremantle,H2H,Fremantle by 17,1.5,Manual / No API Match,77.0,66.7,10.3,15.5,Strong Value,YES,LOW,1,10.0,,,,
15,Greater Western Sydney v Carlton,Greater Western Sydney,H2H,Greater Western Sydney by 12,1.5,Manual / No API Match,70.2,66.7,3.5,5.3,Small Edge,NO,LOW,1,10.0,,,,
